title,company,location,date,summary,url
Data Scientist,Open Text Corporation,"Laval, QC",20 days ago,The Data Scientist will be mostly responsible for building machine-learning models using Jupyter Notebook programming in Python and R....,https://www.indeed.ca//rc/clk?jk=15e26d7369038afd&fccid=c908408e676247d6&vjs=3
Data Scientist,Dialogue,"Montréal, QC",30+ days ago,"3 years of experience as a data scientist or data analyst. What’s data at Dialogue? From generating new data to requesting integrations with a third party,...",https://www.indeed.ca//rc/clk?jk=de52bfa77827df34&fccid=1da4d28e5c219218&vjs=3
Data Scientist,"SHIL Technologies, Inc","Montréal, QC",30+ days ago,We are looking for a Data Scientist that will help us discover the information hidden. Data mining using state-of-the-art methods....,"https://www.indeed.ca//company/SHIL-Technologies,-Inc/jobs/Data-Scientist-fa69987210be7111?fccid=ceda20f82d718c05&vjs=3"
Data Scientist,Hopper,"Montréal, QC",30+ days ago,"We’re looking for a data-savvy individual to join our team as a data scientist, to support data-centric product development and create consumer-focused research...",https://www.indeed.ca//rc/clk?jk=10433bc442d2f028&fccid=71eb96af97fae7e9&vjs=3
Data Scientist,RenoRun,"Montréal, QC",3 hours ago,In this role you will use Operations Research and Data Science methods and tools to optimize operations at RenoRun. We are....,https://www.indeed.ca//rc/clk?jk=e7429952ed088de4&fccid=f8178226893d249d&vjs=3
Data Scientist,MotorLeaf,"Montréal, QC",7 days ago,"Familiarity with data mining and/or data modeling. You will design robust and scalable data models, and define data integrity metrics....",https://www.indeed.ca//rc/clk?jk=e0d8577f8628df98&fccid=7b56c955b3d2cd71&vjs=3
Data Scientist - Scientifique de données,Unity Technologies,"Montréal, QC",30+ days ago,"The team will focus driving Unity's internal data augmentation for monetization needs, validate and acquire external datasets and create embeddings and...",https://www.indeed.ca//rc/clk?jk=ffcacc7688179a0b&fccid=880e4714f2ad94a8&vjs=3
Data Scientist - Internship Fall 2019,Camfil Power Systems,"Montréal, QC",30+ days ago,Gather and organize experimental data. Perform data clean-up (based on prescribed criteria). Analyze data to identify key performance drivers and corresponding...,https://www.indeed.ca//company/Camfil-Farr-Power-Systems/jobs/Data-Scientist-dfb6161ee2f8a6b6?fccid=0be184394e28fa88&vjs=3
Data Scientist,OpenText,"Montréal, QC",14 days ago,The Data Scientist will be mostly responsible for building machine-learning models using Jupyter Notebook programming in Python and R....,https://www.indeed.ca//rc/clk?jk=9a950a0bf2164424&fccid=c908408e676247d6&vjs=3
Data Scientist,TELUS Communications,"Montréal, QC",28 days ago,"As a Data Scientist, you’re in great company, working alongside some of the brightest and creative data scientists and analysts. Data visualization:....",https://www.indeed.ca//rc/clk?jk=7be643a1f7c73c04&fccid=4512634d9e7338a8&vjs=3
Machine Learning Scientist (all levels),Expedia Group,"Montréal, QC",30+ days ago,"2+ years’ experience of working with live data (data cleaning, data visualization and modeling). You will collect and manipulate large volumes of data;...",https://www.indeed.ca//rc/clk?jk=8625709221492ece&fccid=160efb82f2462f14&vjs=3
Speech/Data Scientist,Nuance,"Montréal, QC",30+ days ago,Knowledge of statistical data analysis. Passionate about analyzing data to solve problems and improve systems. Company Overview / Présentation de l’entreprise:....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0Bzin9QUkjw5S3uZgWvqXu5YKbu1M0ccIXCVaLi4ulGCsDq852yg6XJXtKDIAdbbKx8WaN0dQbyKlm-CTZKl8e-Q3y2yaIwuVGDUANRrIFlZJHU8OauDffMUij4N0Gd5wxQWGOOaBnDOyonPJOenOeqWEHZFKyaiFZpndtMjzPMUTOYXIV2Tg3WsnoHsA12UuYvFceBbfEV5QyEahy5g8UtEd3SVAK-Oloa0gN1C1r9Qtult8ud_pjWh0G6sZLeUmeZGwcesGycTPZWXai0Ur6Od996361Bd4rRIY2rh0Wb4vG-e7o_utHXDoiZU-lyNmUqD7mm8-ftMR2V_UB5VGubWk0F5_IBcKiCLwysRGiZILRjaODZRMeGtcewmTkDQsKVd-ou0XJmvQ2tHH8snhCndQOy6LrnLkgTVYx5KSH2RFKFrCLuQ7VdWkGCEmaKbP3DCzkSZN3PA1Cq-UGJOI-Zj2AaWzQ51Zm_lDV_v4FWC5AHD2lUUJNvYzsbp4nzs6ms-rWidtRvOOy0YZ4xOlBzVvv2V4TsBMpOwn4PqkuD8xgk9Vv-5qWxExdjQ82u4GLbTGAe8VSX-PEPGkloX3abWxFDUUW_c1z_9lqfVntck_j8KJPhlyMT&p=0&fvj=0&vjs=3
Environmental Scientist,ERA Environmental Management Solutions,"Montréal, QC",30+ days ago,"Data entry:. Environmental Scientist – Entry Level Position. Our software is created by inventive, passionate environmental scientists....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0ApSHlqJjtjFIJNlzYf5NpZsaYJ7eB6tgmEd_HePLBCNiO-UUpd450ebfMrv4MscHp840wUzLJlF2BzazHVpPhpXVzee7ALbs5jFWBTG26eYlVTfWg2W1e_4HZGZfnZkMz605XzGUnz1vLkTce3QtI3bf_Xaa_6kAKL4vkgqxT2fla1yHGLygo5-bWOWEq5jVwY_u_QwnTqfJeJpj1vlnruK0AyVcd4NvSS2deu-PmtohIwMCrDnhriQeGHb8C5pWeO1Ol_83LPM_LIqCyT5K59FGYsUql6XedUkMWcZa32Nvnzg-zxYgwGb_RMl0cBa0W51Xbpa4-fzirTumPVHDVs5LBAk8QvpJqdAj6ktufPrirozJ7Wiaz6jBJv4qaepUBN6jlYh43SfJY246nr20mW7vGPy5_tTi4eJnqG5WaK1m4M-CoeggLHWAg9mCpuDJ8=&p=1&fvj=1&vjs=3
